tickers,canonical_url,value,future,past,health,dividend
AAPL,/stocks/us/tech/nasdaq-aapl/apple,3.0,2.0,2.0,2.0,0.0
NVDA,/stocks/us/semiconductors/nasdaq-nvda/nvidia,2.0,5.0,5.0,6.0,0.0
META,/stocks/us/media/nasdaq-meta/meta-platforms,3.0,3.0,6.0,5.0,0.0
AMD,/stocks/us/semiconductors/nasdaq-amd/advanced-micro-devices,1.0,4.0,4.0,6.0,0.0
SOUN,/stocks/us/software/nasdaq-soun/soundhound-ai,0.0,5.0,0.0,6.0,0.0
MSFT,/stocks/us/software/nasdaq-msft/microsoft,2.0,3.0,3.0,6.0,0.0
QCOM,/stocks/us/semiconductors/nasdaq-qcom/qualcomm,5.0,1.0,6.0,6.0,5.0
SMCI,/stocks/us/tech/nasdaq-smci/super-micro-computer,4.0,6.0,1.0,4.0,0.0
GOOGL,/stocks/us/media/nasdaq-googl/alphabet,5.0,3.0,6.0,5.0,0.0
QUBT,/stocks/us/tech/nasdaq-qubt/quantum-computing,0.0,2.0,0.0,6.0,0.0
SYM,/stocks/us/capital-goods/nasdaq-sym/symbotic,2.0,6.0,0.0,6.0,0.0
AMZN,/stocks/us/retail/nasdaq-amzn/amazoncom,4.0,3.0,6.0,6.0,0.0
IONQ,/stocks/us/tech/nyse-ionq/ionq,0.0,2.0,0.0,6.0,0.0
NTAP,/stocks/us/tech/nasdaq-ntap/netapp,5.0,2.0,5.0,6.0,5.0
ATLC,/stocks/us/diversified-financials/nasdaq-atlc/atlanticus-holdings,5.0,5.0,5.0,3.0,0.0
GC=F,,,,,,
CL=F,,,,,,
^VIX,,,,,,
^GSPC,,,,,,
SHEL,/stocks/us/energy/nyse-shel/shell,3.0,1.0,2.0,6.0,3.0
FSLR,/stocks/us/semiconductors/nasdaq-fslr/first-solar,5.0,5.0,3.0,6.0,0.0
EGY,/stocks/us/energy/nyse-egy/vaalco-energy,4.0,0.0,2.0,5.0,3.0
PLTR,/stocks/us/software/nasdaq-pltr/palantir-technologies,0.0,6.0,5.0,6.0,0.0
BAC,/stocks/us/banks/nyse-bac/bank-of-america,3.0,1.0,5.0,6.0,5.0
USB,/stocks/us/banks/nyse-usb/us-bancorp,5.0,1.0,4.0,6.0,5.0
GERN,/stocks/us/pharmaceuticals-biotech/nasdaq-gern/geron,2.0,5.0,0.0,4.0,0.0
MRK,/stocks/us/pharmaceuticals-biotech/nyse-mrk/merck,6.0,2.0,6.0,4.0,5.0
NBIX,/stocks/us/pharmaceuticals-biotech/nasdaq-nbix/neurocrine-biosciences,3.0,4.0,1.0,6.0,0.0
PEP,/stocks/us/food-beverage-tobacco/nasdaq-pep/pepsico,4.0,2.0,4.0,3.0,4.0
KO,/stocks/us/food-beverage-tobacco/nyse-ko/coca-cola,3.0,2.0,3.0,3.0,4.0
WMT,/stocks/us/consumer-retailing/nyse-wmt/walmart,1.0,2.0,3.0,4.0,4.0
TGT,/stocks/us/consumer-retailing/nyse-tgt/target,5.0,1.0,3.0,3.0,6.0
DLTR,/stocks/us/consumer-retailing/nasdaq-dltr/dollar-tree,3.0,2.0,3.0,4.0,0.0
DG,/stocks/us/consumer-retailing/nyse-dg/dollar-general,3.0,1.0,1.0,3.0,5.0
CBRE,/stocks/us/real-estate-management-and-development/nyse-cbre/cbre-group,2.0,3.0,2.0,3.0,0.0
AVB,/stocks/us/real-estate/nyse-avb/avalonbay-communities,4.0,0.0,4.0,2.0,5.0
DLR,/stocks/us/real-estate/nyse-dlr/digital-realty-trust,2.0,4.0,2.0,1.0,5.0
MTDR,/stocks/us/energy/nyse-mtdr/matador-resources,6.0,0.0,3.0,3.0,3.0
TSM,/stocks/us/semiconductors/nyse-tsm/taiwan-semiconductor-manufacturing,5.0,3.0,6.0,5.0,4.0
WFRD,/stocks/us/energy/nasdaq-wfrd/weatherford-international,6.0,2.0,4.0,4.0,3.0
BMA,/stocks/us/banks/nyse-bma/banco-macro,1.0,4.0,0.0,6.0,4.0
MU,/stocks/us/semiconductors/nasdaq-mu/micron-technology,2.0,5.0,2.0,5.0,0.0
CIVI,/stocks/us/energy/nyse-civi/civitas-resources,5.0,0.0,3.0,2.0,4.0
SYF,/stocks/us/diversified-financials/nyse-syf/synchrony-financial,5.0,2.0,2.0,5.0,3.0
MTRX,/stocks/us/capital-goods/nasdaq-mtrx/matrix-service,3.0,4.0,0.0,6.0,0.0
JKS,/stocks/us/semiconductors/nyse-jks/jinkosolar-holding,5.0,4.0,0.0,4.0,3.0
ARM,/stocks/us/semiconductors/nasdaq-arm/arm-holdings,0.0,5.0,5.0,6.0,0.0
AVGO,/stocks/us/semiconductors/nasdaq-avgo/broadcom,0.0,5.0,4.0,4.0,4.0
CRDO,/stocks/us/semiconductors/nasdaq-crdo/credo-technology-group-holding,0.0,6.0,3.0,6.0,0.0
KHC,/stocks/us/food-beverage-tobacco/nasdaq-khc/kraft-heinz,5.0,1.0,1.0,4.0,4.0
